OT6 BREAK-FLOOR CLASSIFIER -- REVIEW DUMP
GENERATED by tools/gen_break_floor.py -- do not edit by hand.

SUMMARY COUNTS (floor-live species only)
  total species          : 384
  AUTHORED (Ot6ShieldTbl): 74  <- never reach the floor; excluded below
  floor-live             : 310
  PIERCE   ($02)  : 54
  SLASH    ($01)  : 238
  BLUDGEON ($04)  : 18
  by origin: explicit 1 / inferred 88 / defaulted 221

PRECEDENCE: PIERCE > BLUDGEON > SLASH > DEFAULT(->SLASH)
ORIGIN: AUTHORED = has an Ot6ShieldTbl row (floor byte unreachable);
        explicit = OVERRIDES exact-name hit; inferred = keyword substring;
        defaulted = nothing matched, slash fallback.

FULL ASSIGNMENT TABLE
 id | name         | class    | origin    | rule_matched
180 | Anemone      | SLASH    | defaulted | DEFAULT
181 | Hipocampus   | SLASH    | defaulted | DEFAULT
182 | Spectre      | SLASH    | defaulted | DEFAULT
183 | Evil Oscar   | SLASH    | defaulted | DEFAULT
184 | Slurm        | BLUDGEON | inferred  | BLUDGEON:slurm
185 | Latimeria    | SLASH    | defaulted | DEFAULT
186 | StillGoing   | SLASH    | defaulted | DEFAULT
187 | Allo Ver     | SLASH    | defaulted | DEFAULT
188 | Phase        | SLASH    | defaulted | DEFAULT
189 | Outsider     | SLASH    | defaulted | DEFAULT
190 | Barb-e       | SLASH    | defaulted | DEFAULT
191 | Parasoul     | SLASH    | defaulted | DEFAULT
192 | Pm Stalker   | SLASH    | defaulted | DEFAULT
193 | Hemophyte    | SLASH    | defaulted | DEFAULT
194 | Sp Forces    | PIERCE   | inferred  | PIERCE:forces
195 | Nohrabbit    | SLASH    | defaulted | DEFAULT
196 | Wizard       | SLASH    | defaulted | DEFAULT
197 | Scrapper     | SLASH    | defaulted | DEFAULT
198 | Ceritops     | PIERCE   | inferred  | PIERCE:ceritops
199 | Commando     | PIERCE   | AUTHORED  | PIERCE:commando
200 | Opinicus     | SLASH    | defaulted | DEFAULT
201 | Poppers      | SLASH    | defaulted | DEFAULT
202 | Lunaris      | SLASH    | defaulted | DEFAULT
203 | Garm         | SLASH    | AUTHORED  | DEFAULT
204 | Vindr        | SLASH    | defaulted | DEFAULT
205 | Kiwok        | SLASH    | defaulted | DEFAULT
206 | Nastidon     | PIERCE   | inferred  | PIERCE:nastidon
207 | Rinn         | SLASH    | defaulted | DEFAULT
208 | Insecare     | PIERCE   | inferred  | PIERCE:insecare
209 | Vermin       | SLASH    | defaulted | DEFAULT
210 | Mantodea     | PIERCE   | inferred  | PIERCE:mantodea
211 | Bogy         | SLASH    | defaulted | DEFAULT
212 | Prussian     | PIERCE   | inferred  | PIERCE:prussian
213 | Black Drgn   | PIERCE   | inferred  | PIERCE:drgn
214 | Adamanchyt   | BLUDGEON | inferred  | BLUDGEON:adaman
215 | Dante        | SLASH    | defaulted | DEFAULT
216 | Wirey Drgn   | PIERCE   | inferred  | PIERCE:drgn
217 | Dueller      | PIERCE   | inferred  | PIERCE:dueller
218 | Psychot      | SLASH    | defaulted | DEFAULT
219 | Muus         | SLASH    | defaulted | DEFAULT
220 | Karkass      | BLUDGEON | inferred  | BLUDGEON:karkass
221 | Punisher     | SLASH    | defaulted | DEFAULT
222 | Balloon      | SLASH    | AUTHORED  | DEFAULT
223 | Gabbldegak   | SLASH    | AUTHORED  | DEFAULT
224 | GtBehemoth   | SLASH    | defaulted | DEFAULT
225 | Scorpion     | PIERCE   | inferred  | PIERCE:scorpion
226 | Chaos Drgn   | PIERCE   | inferred  | PIERCE:drgn
227 | Spit Fire    | SLASH    | defaulted | DEFAULT
228 | Vectagoyle   | SLASH    | defaulted | DEFAULT
229 | Lich         | BLUDGEON | inferred  | BLUDGEON:lich
230 | Osprey       | SLASH    | defaulted | DEFAULT
231 | Mag Roader   | SLASH    | defaulted | DEFAULT
232 | Bug          | SLASH    | defaulted | DEFAULT
233 | Sea Flower   | SLASH    | inferred  | SLASH:flower
234 | Fortis       | SLASH    | defaulted | DEFAULT
235 | Abolisher    | SLASH    | defaulted | DEFAULT
236 | Aquila       | SLASH    | defaulted | DEFAULT
237 | Junk         | SLASH    | defaulted | DEFAULT
238 | Mandrake     | SLASH    | explicit  | SLASH:override
239 | 1st Class    | PIERCE   | inferred  | PIERCE:1st class
240 | Tap Dancer   | SLASH    | defaulted | DEFAULT
241 | Necromancr   | SLASH    | defaulted | DEFAULT
242 | Borras       | SLASH    | defaulted | DEFAULT
243 | Mag Roader   | SLASH    | defaulted | DEFAULT
244 | Wild Rat     | SLASH    | inferred  | SLASH:rat
245 | Gold Bear    | SLASH    | inferred  | SLASH:bear
246 | Innoc        | SLASH    | defaulted | DEFAULT
247 | Trixter      | SLASH    | defaulted | DEFAULT
248 | Red Wolf     | SLASH    | inferred  | SLASH:wolf
249 | Didalos      | SLASH    | defaulted | DEFAULT
250 | Woolly       | SLASH    | defaulted | DEFAULT
251 | Veteran      | PIERCE   | inferred  | PIERCE:veteran
252 | Sky Base     | SLASH    | defaulted | DEFAULT
253 | IronHitman   | PIERCE   | inferred  | PIERCE:iron
254 | Io           | SLASH    | defaulted | DEFAULT
255 | Pugs         | BLUDGEON | inferred  | BLUDGEON:pug
256 | Whelk        | SLASH    | AUTHORED  | DEFAULT
257 | Presenter    | SLASH    | defaulted | DEFAULT
258 | Mega Armor   | PIERCE   | inferred  | PIERCE:armor
259 | Vargas       | SLASH    | AUTHORED  | DEFAULT
260 | TunnelArmr   | PIERCE   | AUTHORED  | PIERCE:armr
261 | Prometheus   | SLASH    | defaulted | DEFAULT
262 | GhostTrain   | SLASH    | AUTHORED  | DEFAULT
263 | Dadaluma     | SLASH    | AUTHORED  | DEFAULT
264 | Shiva        | SLASH    | AUTHORED  | DEFAULT
265 | Ifrit        | SLASH    | AUTHORED  | DEFAULT
266 | Number 024   | SLASH    | AUTHORED  | DEFAULT
267 | Number 128   | SLASH    | AUTHORED  | DEFAULT
268 | Inferno      | SLASH    | defaulted | DEFAULT
269 | Crane        | SLASH    | AUTHORED  | DEFAULT
270 | Crane        | SLASH    | AUTHORED  | DEFAULT
271 | Umaro        | BLUDGEON | inferred  | BLUDGEON:umaro
272 | Umaro        | BLUDGEON | inferred  | BLUDGEON:umaro
273 | Guardian     | PIERCE   | AUTHORED  | PIERCE:guard
274 | Guardian     | PIERCE   | AUTHORED  | PIERCE:guard
275 | Air Force    | PIERCE   | AUTHORED  | PIERCE:air force
276 | Tritoch      | SLASH    | AUTHORED  | DEFAULT
277 | Tritoch      | SLASH    | AUTHORED  | DEFAULT
278 | FlameEater   | SLASH    | AUTHORED  | DEFAULT
279 | AtmaWeapon   | SLASH    | AUTHORED  | DEFAULT
280 | Nerapa       | SLASH    | AUTHORED  | DEFAULT
281 | SrBehemoth   | SLASH    | defaulted | DEFAULT
282 | Kefka        | SLASH    | defaulted | DEFAULT
283 | Tentacle     | SLASH    | defaulted | DEFAULT
284 | Dullahan     | SLASH    | defaulted | DEFAULT
285 | Doom Gaze    | SLASH    | defaulted | DEFAULT
286 | Chadarnook   | SLASH    | defaulted | DEFAULT
287 | Curley       | SLASH    | defaulted | DEFAULT
288 | Larry        | SLASH    | defaulted | DEFAULT
289 | Moe          | SLASH    | defaulted | DEFAULT
290 | Wrexsoul     | SLASH    | defaulted | DEFAULT
291 | Hidon        | SLASH    | defaulted | DEFAULT
292 | KatanaSoul   | SLASH    | defaulted | DEFAULT
293 | L.30 Magic   | SLASH    | defaulted | DEFAULT
294 | Hidonite     | SLASH    | defaulted | DEFAULT
295 | Doom         | SLASH    | defaulted | DEFAULT
296 | Goddess      | SLASH    | defaulted | DEFAULT
297 | Poltrgeist   | SLASH    | defaulted | DEFAULT
298 | Kefka        | SLASH    | defaulted | DEFAULT
299 | L.40 Magic   | SLASH    | defaulted | DEFAULT
300 | Ultros       | SLASH    | AUTHORED  | DEFAULT
301 | Ultros       | SLASH    | AUTHORED  | DEFAULT
302 | Ultros       | SLASH    | AUTHORED  | DEFAULT
303 | Chupon       | SLASH    | AUTHORED  | DEFAULT
304 | L.20 Magic   | SLASH    | defaulted | DEFAULT
305 | Siegfried    | SLASH    | defaulted | DEFAULT
306 | L.10 Magic   | SLASH    | defaulted | DEFAULT
307 | L.50 Magic   | SLASH    | defaulted | DEFAULT
308 | Head         | SLASH    | AUTHORED  | DEFAULT
309 | Whelk Head   | SLASH    | defaulted | DEFAULT
310 | Colossus     | PIERCE   | inferred  | PIERCE:colossus
311 | CzarDragon   | PIERCE   | inferred  | PIERCE:dragon
312 | Master Pug   | BLUDGEON | inferred  | BLUDGEON:pug
313 | L.60 Magic   | SLASH    | defaulted | DEFAULT
314 | Merchant     | SLASH    | AUTHORED  | DEFAULT
315 | B.Day Suit   | SLASH    | defaulted | DEFAULT
316 | Tentacle     | SLASH    | defaulted | DEFAULT
317 | Tentacle     | SLASH    | defaulted | DEFAULT
318 | Tentacle     | SLASH    | defaulted | DEFAULT
319 | RightBlade   | SLASH    | AUTHORED  | DEFAULT
320 | Left Blade   | SLASH    | AUTHORED  | DEFAULT
321 | Rough        | SLASH    | defaulted | DEFAULT
322 | Striker      | SLASH    | defaulted | DEFAULT
323 | L.70 Magic   | SLASH    | defaulted | DEFAULT
324 | Tritoch      | SLASH    | AUTHORED  | DEFAULT
325 | Laser Gun    | PIERCE   | AUTHORED  | PIERCE:laser
326 | Speck        | SLASH    | AUTHORED  | DEFAULT
327 | MissileBay   | PIERCE   | AUTHORED  | PIERCE:missile
328 | Chadarnook   | SLASH    | defaulted | DEFAULT
329 | Ice Dragon   | PIERCE   | inferred  | PIERCE:dragon
330 | Kefka        | SLASH    | AUTHORED  | DEFAULT
331 | Storm Drgn   | PIERCE   | inferred  | PIERCE:drgn
332 | Dirt Drgn    | PIERCE   | inferred  | PIERCE:drgn
333 | Ipooh        | SLASH    | AUTHORED  | DEFAULT
334 | Leader       | PIERCE   | AUTHORED  | PIERCE:leader
335 | Grunt        | SLASH    | AUTHORED  | DEFAULT
336 | Gold Drgn    | PIERCE   | inferred  | PIERCE:drgn
337 | Skull Drgn   | PIERCE   | inferred  | PIERCE:drgn
338 | Blue Drgn    | PIERCE   | inferred  | PIERCE:drgn
339 | Red Dragon   | PIERCE   | inferred  | PIERCE:dragon
340 | Piranha      | SLASH    | AUTHORED  | SLASH:piranha
341 | Rizopas      | SLASH    | AUTHORED  | DEFAULT
342 | Specter      | SLASH    | defaulted | DEFAULT
343 | Short Arm    | SLASH    | defaulted | DEFAULT
344 | Long Arm     | SLASH    | defaulted | DEFAULT
345 | Face         | SLASH    | defaulted | DEFAULT
346 | Tiger        | SLASH    | inferred  | SLASH:tiger
347 | Tools        | SLASH    | defaulted | DEFAULT
348 | Magic        | SLASH    | defaulted | DEFAULT
349 | Hit          | SLASH    | defaulted | DEFAULT
350 | Girl         | SLASH    | defaulted | DEFAULT
351 | Sleep        | SLASH    | defaulted | DEFAULT
352 | Hidonite     | SLASH    | defaulted | DEFAULT
353 | Hidonite     | SLASH    | defaulted | DEFAULT
354 | Hidonite     | SLASH    | defaulted | DEFAULT
355 | L.80 Magic   | SLASH    | defaulted | DEFAULT
356 | L.90 Magic   | SLASH    | defaulted | DEFAULT
357 | ProtoArmor   | PIERCE   | AUTHORED  | PIERCE:armor
358 | MagiMaster   | SLASH    | defaulted | DEFAULT
359 | SoulSaver    | SLASH    | defaulted | DEFAULT
360 | Ultros       | SLASH    | AUTHORED  | DEFAULT
361 | Naughty      | SLASH    | defaulted | DEFAULT
362 | Phunbaba     | SLASH    | defaulted | DEFAULT
363 | Phunbaba     | SLASH    | defaulted | DEFAULT
364 | Phunbaba     | SLASH    | defaulted | DEFAULT
365 | Phunbaba     | SLASH    | defaulted | DEFAULT
366 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
367 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
368 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
369 | Zone Eater   | SLASH    | defaulted | DEFAULT
370 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
371 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
372 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
373 | Officer      | PIERCE   | AUTHORED  | PIERCE:officer
374 | Cadet        | PIERCE   | AUTHORED  | PIERCE:cadet
375 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
376 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
377 | Soldier      | PIERCE   | inferred  | PIERCE:soldier
378 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
379 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
380 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
381 | Atma         | SLASH    | defaulted | DEFAULT
382 | (unused)     | SLASH    | defaulted | DEFAULT(empty)
383 | (unused)     | SLASH    | defaulted | DEFAULT(empty)

REVIEW SURFACE -- floor-live rows nobody has looked at, worst first.

DEFAULTED (nothing matched; the slash fallback)
count: 221
------------------------------------------------------------------
  3 | Ninja          | DEFAULT
  4 | Samurai        | DEFAULT
  8 | Hazer          | DEFAULT
  9 | Dahling        | DEFAULT
 10 | Rain Man       | DEFAULT
 12 | Apokryphos     | DEFAULT
 13 | Dark Force     | DEFAULT
 14 | Whisper        | DEFAULT
 15 | Over-Mind      | DEFAULT
 18 | Rhodox         | DEFAULT
 20 | Ursus          | DEFAULT
 27 | Vomammoth      | DEFAULT
 28 | Fidor          | DEFAULT
 29 | Baskervor      | DEFAULT
 30 | Suriander      | DEFAULT
 31 | Chimera        | DEFAULT
 32 | Behemoth       | DEFAULT
 40 | Dark Wind      | DEFAULT
 41 | Beakor         | DEFAULT
 42 | Vulture        | DEFAULT
 50 | Trilium        | DEFAULT
 51 | Nightshade     | DEFAULT
 52 | TumbleWeed     | DEFAULT
 53 | Bloompire      | DEFAULT
 55 | Siegfried      | DEFAULT
 59 | Reach Frog     | DEFAULT
 61 | ChickenLip     | DEFAULT
 62 | Hoover         | DEFAULT
 64 | Chupon         | DEFAULT
 69 | Lethal Wpn     | DEFAULT
 72 | Ing            | DEFAULT
 73 | Humpty         | DEFAULT
 74 | Brainpan       | DEFAULT
 75 | Cruller        | DEFAULT
 76 | Cactrot        | DEFAULT
 77 | Repo Man       | DEFAULT
 79 | Bomb           | DEFAULT
 80 | Still Life     | DEFAULT
 81 | Boxed Set      | DEFAULT
 85 | Magic Urn      | DEFAULT
 86 | Mover          | DEFAULT
 87 | Figaliz        | DEFAULT
 88 | Buffalax       | DEFAULT
 90 | Ghost          | DEFAULT
 91 | Crawler        | DEFAULT
 92 | Sand Ray       | DEFAULT
 93 | Areneid        | DEFAULT
 95 | Sand Horse     | DEFAULT
 96 | Dark Side      | DEFAULT
 97 | Mad Oscar      | DEFAULT
 98 | Crawly         | DEFAULT
 99 | Bleary         | DEFAULT
105 | Warlock        | DEFAULT
106 | Madam          | DEFAULT
107 | Joker          | DEFAULT
109 | Goblin         | DEFAULT
110 | Apparite       | DEFAULT
111 | PowerDemon     | DEFAULT
112 | Displayer      | DEFAULT
113 | Vector Pup     | DEFAULT
114 | Peepers        | DEFAULT
116 | Slatter        | DEFAULT
118 | Rhobite        | DEFAULT
120 | Red Fang       | DEFAULT
121 | Bounty Man     | DEFAULT
123 | Ralph          | DEFAULT
125 | Wart Puck      | DEFAULT
126 | Rhyos          | DEFAULT
127 | SrBehemoth     | DEFAULT
128 | Vectaur        | DEFAULT
132 | Brontaur       | DEFAULT
135 | Sprinter       | DEFAULT
137 | Harpiai        | DEFAULT
139 | Drop           | DEFAULT
140 | Mind Candy     | DEFAULT
141 | WeedFeeder     | DEFAULT
142 | Luridan        | DEFAULT
143 | Toe Cutter     | DEFAULT
144 | Over Grunk     | DEFAULT
145 | Exoray         | DEFAULT
146 | Crusher        | DEFAULT
147 | Uroburos       | DEFAULT
149 | Sky Cap        | DEFAULT
150 | Cephaler       | DEFAULT
151 | Maliga         | DEFAULT
152 | Gigan Toad     | DEFAULT
154 | Cluck          | DEFAULT
158 | Tomb Thumb     | DEFAULT
162 | Poplium        | DEFAULT
163 | Intangir       | DEFAULT
164 | Misfit         | DEFAULT
165 | Eland          | DEFAULT
